customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
IZFG-5Q4CL3,Female,0,Yes,No,53,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.53,4206.16,No
AIWF-0N9CVP,Male,0,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,54.89,927.55,No
S676-3W63GO,Female,1,Yes,No,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.15,3093.87,No
NK0D-KNX2XJ,Female,0,No,No,39,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.92,3792.93,No
TMEI-BD5XR2,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,91.35,5443.83,No
208H-ZTZM14,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,71.06,2212.64,No
GUU9-OFWXCC,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,61.1,61.33,No
IC37-D6SD2P,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,69.13,2125.54,Yes
GTSB-AS4H3N,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),88.58,1064.37,No
00HX-4FW6RH,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.52,2599.38,No
0USL-9HJEOK,Male,1,Yes,No,3,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),94.66,261.45,No
RR3T-5SPJ3T,Female,0,Yes,No,38,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,70.86,2499.81,Yes
IA4A-8JI5SI,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.21,4348.11,No
3C6V-KE6Q4N,Female,1,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),67.05,2459.69,No
HVDV-RHYC8S,Female,0,No,No,62,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,72.75,4398.39,No
HM79-CIZ67R,Male,0,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.29,2046.46,No
9JEF-EEWGXC,Female,0,Yes,No,22,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,106.13,2214.16,Yes
J49X-X3P3QQ,Male,0,No,No,69,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,55.7,4214.96,No
2PW0-8EVK0V,Female,0,Yes,No,57,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),49.53,2738.97,No
MZVF-EROMMY,Female,1,Yes,No,65,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),102.69,7133.59,No
PPBF-BJE2Q0,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,58.58,4068.45,No
42GS-OIURM9,Male,1,Yes,No,65,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),38.21,2563.54,Yes
A2X8-A8MMSR,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),47.93,509.29,Yes
A0QL-700OIN,Female,0,Yes,No,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,73.39,2668.72,No
MQWA-CM7RQ4,Male,0,No,Yes,3,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),80.35,240.88,No
847O-N6D3RG,Male,1,No,No,40,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),62.27,2541.32,No
G3RW-LRWEX0,Male,0,Yes,Yes,55,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),52.3,2691.58,No
UEYZ-1G5YSX,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),67.77,351.1,No
6NCR-K8776I,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,64.77,3635.82,No
AOQS-IFQD4Y,Male,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),50.32,311.2,Yes
KYG1-3QHH2M,Female,0,No,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.5,492.14,Yes
VKRF-7P9K3S,Male,0,No,No,35,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),55.17,1965.59,No
9PE4-D4B2GU,Female,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,46.05,1686.85,No
DQVF-SQA4N5,Female,1,No,No,67,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),20.0,1410.9,Yes
C4IP-AFTC3G,Male,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,74.65,1666.85,No
EWT4-CDBWWE,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),49.16,1340.49,No
RB3S-4F77L6,Male,1,Yes,No,36,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,51.27,2012.86,No
U805-Y8Y9KE,Female,1,Yes,No,27,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.21,1475.86,No
OVXD-2UZALT,Male,1,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),70.15,3054.32,Yes
0SI3-U4DY6A,Female,1,No,No,59,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,96.46,6104.28,No
YNEJ-RXQ6ND,Female,0,Yes,Yes,49,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),101.46,5095.77,No
DEUX-IE6TBE,Male,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,77.15,1200.81,No
3HVP-S1BKS6,Male,0,Yes,No,52,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),33.23,1816.18,No
7NDN-LZVNRB,Female,0,No,No,22,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,62.3,1457.57,No
3JT8-ATPQIA,Female,1,No,Yes,28,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,58.64,1552.38,No
2CZ3-SQBUWR,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),71.31,5522.86,Yes
P067-WJZGTN,Male,0,Yes,No,18,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),84.88,1603.17,No
LL59-3NGBVM,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,58.52,316.28,Yes
ZWG5-O7ZTKB,Female,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.79,4038.74,No
DVDY-413DAF,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),62.09,375.19,Yes
MF88-UWAG4O,Female,0,Yes,Yes,4,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.74,269.23,Yes
PHLQ-9URTKD,Male,0,No,No,51,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),28.98,1540.86,No
8I0B-Z8MCPW,Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,84.89,4554.74,No
NUMA-D2TIH9,Male,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),75.9,4296.81,Yes
G1ND-29ESKF,Female,0,No,Yes,52,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,88.82,4755.71,Yes
9A5T-67S34B,Male,0,Yes,No,14,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),79.87,1133.51,No
WS33-KEXFVI,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,39.83,1627.56,No
G2XP-4866NV,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,71.16,74.5,No
V3X3-64DBKC,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),64.08,1160.59,Yes
VGH0-1SDILQ,Female,0,Yes,Yes,66,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),53.84,3306.91,No
2BZE-WVQOP2,Male,1,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,75.53,1468.07,No
QMGW-SRN24I,Male,0,No,No,22,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,97.1,1950.38,Yes
SRTR-S2Z4UV,Male,0,Yes,No,66,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,109.28,7338.37,Yes
5120-AK2DRA,Female,0,No,Yes,5,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,54.4,247.97,No
KT1C-1RPGGK,Male,0,Yes,No,50,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),68.66,3157.36,No
65ZK-FV89S5,Female,0,No,No,11,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),62.19,679.32,No
TWDM-Q75O76,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,51.43,142.97,No
84WH-78H5M0,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,81.7,1192.62,Yes
JWIQ-5HL2QM,Female,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.16,867.08,No
XWKU-Y8FXUI,Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),54.14,3193.5,No
BL35-S2AI9V,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,70.9,4941.52,No
57NE-Y6LGTG,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,78.72,4863.46,No
